downstream,point_id,band_ordinal,eligible,reason,baseline_frequency,nearest_neighbor_gap,maximum_perturbation,convergence_error_bound
SqrLatt,q0,0,False,baseline_frequency_floor,0.0,0.1951188392399986,0.0,0.0015805932529573408
SqrLatt,q0,1,False,nearest_neighbor_gap,0.1951188392399986,0.00033628925531076215,0.0,0.0015805932529573408
SqrLatt,q0,2,False,nearest_neighbor_gap,0.19545512849530935,0.00033628925531076215,0.0,0.0015805932529573408
SqrLatt,q0,3,False,nearest_neighbor_gap,0.26085481250164055,0.0007090710763086316,0.0,0.0015805932529573408
SqrLatt,q0,4,False,nearest_neighbor_gap,0.2615638835779492,0.0007090710763086316,0.0,0.0015805932529573408
SqrLatt,q0,5,True,PASS,0.28128632383480506,0.019722440256855878,0.0,0.0015805932529573408
SqrLatt,q1,0,True,PASS,0.0313378899775182,0.15544263318010548,0.0,0.0015805932529573408
SqrLatt,q1,1,False,nearest_neighbor_gap,0.18678052315762367,0.007021532437061773,0.0,0.0015805932529573408
SqrLatt,q1,2,False,nearest_neighbor_gap,0.19380205559468544,0.007021532437061773,0.0,0.0015805932529573408
SqrLatt,q1,3,False,nearest_neighbor_gap,0.2651646226717003,0.005586921134430933,0.0,0.0015805932529573408
SqrLatt,q1,4,False,nearest_neighbor_gap,0.27075154380613126,0.0020796053560945826,0.0,0.0015805932529573408
SqrLatt,q1,5,False,nearest_neighbor_gap,0.27283114916222584,0.0020796053560945826,0.0,0.0015805932529573408
SqrLatt,q2,0,True,PASS,0.037478368946016284,0.14659247933947836,0.0,0.0015805932529573408
SqrLatt,q2,1,True,PASS,0.18407084828549464,0.008703276072986654,0.0,0.0015805932529573408
SqrLatt,q2,2,True,PASS,0.1927741243584813,0.008703276072986654,0.0,0.0015805932529573408
SqrLatt,q2,3,False,nearest_neighbor_gap,0.26778190368030585,0.001237915169806647,0.0,0.0015805932529573408
SqrLatt,q2,4,False,nearest_neighbor_gap,0.2690198188501125,0.001237915169806647,0.0,0.0015805932529573408
SqrLatt,q2,5,False,nearest_neighbor_gap,0.2734130061815336,0.004393187331421078,0.0,0.0015805932529573408
