downstream,point_id,band_ordinal,eligible,reason,baseline_frequency,nearest_neighbor_gap,delta_max,convergence_error_bound
SqrLatt,q0,0,False,baseline_frequency_floor,0.0,0.19511883885689907,0.0,0.001580593262750285
SqrLatt,q0,1,False,nearest_neighbor_gap,0.19511883885689907,0.0003362894321168042,5.336130884517343e-05,0.001580593262750285
SqrLatt,q0,2,False,nearest_neighbor_gap,0.19545512828901587,0.0003362894321168042,7.113941899020149e-05,0.001580593262750285
SqrLatt,q0,3,False,nearest_neighbor_gap;perturbation_fraction_of_gap,0.26085481250764053,0.0007090707320776546,0.00032101488622898744,0.001580593262750285
SqrLatt,q0,4,False,nearest_neighbor_gap;perturbation_fraction_of_gap,0.2615638832397182,0.0007090707320776546,0.00033563949076081956,0.001580593262750285
SqrLatt,q0,5,True,PASS,0.28128631085980593,0.019722427620087746,0.00014365616665706904,0.001580593262750285
SqrLatt,q1,0,True,PASS,0.03133788998071383,0.155442633173779,6.644212198338162e-05,0.001580593262750285
SqrLatt,q1,1,False,nearest_neighbor_gap,0.1867805231544928,0.007021532444841966,0.0003797244734920213,0.001580593262750285
SqrLatt,q1,2,False,nearest_neighbor_gap,0.19380205559933478,0.007021532444841966,0.00026370793897834144,0.001580593262750285
SqrLatt,q1,3,False,nearest_neighbor_gap,0.2651646227729686,0.005586920984564481,0.0005113105681165964,0.001580593262750285
SqrLatt,q1,4,False,nearest_neighbor_gap;perturbation_fraction_of_gap,0.2707515437575331,0.0020796054022835797,0.0008974123900697961,0.001580593262750285
SqrLatt,q1,5,False,nearest_neighbor_gap,0.27283114915981665,0.0020796054022835797,0.0003154323849157148,0.001580593262750285
SqrLatt,q2,0,True,PASS,0.037478368945976774,0.14659247933950492,2.4762029502307936e-05,0.001580593262750285
SqrLatt,q2,1,True,PASS,0.1840708482854817,0.00870327607298857,0.00024216238809243729,0.001580593262750285
SqrLatt,q2,2,True,PASS,0.19277412435847027,0.00870327607298857,0.0003760544337924887,0.001580593262750285
SqrLatt,q2,3,False,nearest_neighbor_gap;perturbation_fraction_of_gap,0.2677819036802975,0.0012379151697782254,0.0007212083723143192,0.001580593262750285
SqrLatt,q2,4,False,nearest_neighbor_gap,0.2690198188500757,0.0012379151697782254,0.00022786345680742004,0.001580593262750285
SqrLatt,q2,5,False,nearest_neighbor_gap,0.27341300618148257,0.004393187331406867,0.0004081836281949469,0.001580593262750285
